127.0.0.1 - - [21/Sep/2018:14:30:41 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:30:42 +0900] "GET /team5/home.do HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:30:42 +0900] "GET /team5/css/home/homepage.css;jsessionid=F196A5C2FB7D32795508F2019453EDA4 HTTP/1.1" 200 3640
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:30:42 +0900] "GET /team5/script/home/homepageAlert.js;jsessionid=F196A5C2FB7D32795508F2019453EDA4 HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:30:43 +0900] "GET /team5/script/home/homepageToggle.js;jsessionid=F196A5C2FB7D32795508F2019453EDA4 HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:30:43 +0900] "GET /team5/img/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:33:41 +0900] "GET /team5/jsp/home/homepage.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:33:41 +0900] "GET /team5/script/home/homepageToggle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:33:41 +0900] "GET /team5/script/home/homepageAlert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:33:41 +0900] "GET /team5/css/home/homepage.css HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:34:17 +0900] "GET /team5/jsp/home/homepage.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:34:17 +0900] "GET /team5/css/home/homepage.css HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [21/Sep/2018:14:34:38 +0900] "GET /team5/jsp/home/homepage.jsp HTTP/1.1" 200 2579
